City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,kiama,-34.6833,150.8667,20.21,78,86,1.34,AU,1680425223
109,san cristobal,7.7669,-72.225,18.27,89,88,1.04,VE,1680425192
110,ahipara,-35.1667,173.1667,17.17,93,90,5.09,NZ,1680425224
111,khatanga,71.9667,102.5,-4.38,94,100,9.24,RU,1680425225
112,dikson,73.5069,80.5464,-16.0,92,100,7.48,RU,1680425186
113,san patricio,28.017,-97.5169,23.93,90,100,7.88,US,1680425185
114,khasan,42.4308,130.6434,6.51,83,77,2.62,RU,1680425227
115,cabo san lucas,22.8909,-109.9124,23.06,59,100,4.89,MX,1680424987
116,arlit,18.7369,7.3853,29.23,5,47,1.28,NE,1680425228
117,kulhudhuffushi,6.6221,73.07,28.23,66,1,3.49,MV,1680424983
118,tandalti,13.0167,31.8667,32.02,6,88,4.97,SD,1680425229
119,faanui,-16.4833,-151.75,27.91,71,8,3.47,PF,1680425204
120,bredasdorp,-34.5322,20.0403,22.93,58,17,4.31,ZA,1680425181
121,nova olimpia,-14.7972,-57.2881,21.07,97,18,1.1,BR,1680425217
122,kaihua,23.3687,104.28,26.04,34,35,14.98,CN,1680425029
123,victoria,22.2855,114.1577,22.33,92,51,2.68,HK,1680425175
124,lazaro cardenas,17.9583,-102.2,22.16,79,0,2.15,MX,1680425232
125,port lincoln,-34.7333,135.8667,15.58,61,4,6.41,AU,1680425125
126,tuatapere,-46.1333,167.6833,8.72,80,12,4.14,NZ,1680425233
127,marzuq,14.4,46.4667,28.33,42,44,2.29,YE,1680425234
128,honiara,-9.4333,159.95,26.03,87,100,1.44,SB,1680424960
129,olafsvik,64.8945,-23.7142,3.69,75,87,10.69,IS,1680425191
130,acapulco,16.8634,-99.8901,24.7,69,0,2.26,MX,1680425235
131,nisia floresta,-6.0911,-35.2086,23.45,91,75,4.03,BR,1680425236
132,mecca,21.4267,39.8261,29.27,32,4,3.12,SA,1680425236
133,port augusta,-32.5,137.7667,18.25,44,0,8.65,AU,1680425237
134,puerto escondido,15.85,-97.0667,25.54,72,35,1.79,MX,1680425238
135,talnakh,69.4865,88.3972,-4.33,95,100,11.17,RU,1680425238
136,carnarvon,-24.8667,113.6333,24.83,73,70,7.34,AU,1680425239
137,jamkhandi,16.5167,75.3,34.71,14,14,3.05,IN,1680425240
138,benguela,-12.5763,13.4055,29.05,56,79,0.87,AO,1680425042
139,zyryanovsk,49.7386,84.2719,-4.58,63,1,1.55,KZ,1680425242
140,nago,26.5881,127.9761,23.24,74,1,9.37,JP,1680425243
141,san vicente,-26.6167,-54.1333,8.78,61,0,2.5,AR,1680425244
142,plaster rock,46.9065,-67.39,1.29,90,98,14.21,CA,1680425244
143,beaverlodge,55.2166,-119.4361,-0.36,80,54,6.85,CA,1680425245
144,byron bay,-28.65,153.6167,19.63,82,17,3.25,AU,1680425245
145,kasur,31.1156,74.4467,24.06,39,5,2.99,PK,1680425062
146,porto novo,6.4965,2.6036,29.9,60,40,3.19,BJ,1680425246
147,bakhmach,51.1808,32.7569,7.89,79,100,8.25,UA,1680425247
148,tateyama,34.9833,139.8667,13.58,77,100,12.05,JP,1680424966
149,touros,-5.1989,-35.4608,24.21,90,100,5.15,BR,1680425249
150,padang,-0.9492,100.3543,30.03,75,92,2.21,ID,1680425249
151,jumla,29.2747,82.1838,12.61,55,83,3.86,NP,1680425250
152,nuevo progreso,23.1667,-97.95,23.27,80,69,1.7,MX,1680425251
153,nikolskoye,59.7035,30.7861,1.56,89,100,8.68,RU,1680425179
154,andujar,38.0392,-4.0508,17.75,39,30,7.0,ES,1680425252
155,kodiak,57.79,-152.4072,1.73,41,0,9.26,US,1680425201
156,havre-saint-pierre,50.2334,-63.5986,-1.0,100,100,8.75,CA,1680425253
157,valday,57.9747,33.2525,0.57,98,100,8.82,RU,1680425253
158,nanortalik,60.1432,-45.2371,-4.93,77,100,2.54,GL,1680425254
159,galesong,-5.3166,119.3661,28.01,74,100,3.51,ID,1680425254
160,hasaki,35.7333,140.8333,14.22,65,100,9.05,JP,1680425206
161,kadirli,37.3739,36.0961,15.48,76,100,2.06,TR,1680425256
162,omsukchan,62.5333,155.8,-12.85,96,100,4.76,RU,1680425256
163,nagato,34.3833,131.2,13.56,68,32,14.62,JP,1680425258
164,yulara,-25.2406,130.9889,28.23,36,73,1.18,AU,1680425188
165,avera,33.194,-82.5271,14.03,67,14,12.85,US,1680425259
166,airai,-8.9266,125.4092,18.92,91,92,1.63,TL,1680424939
167,wuwei,37.9281,102.6414,8.52,36,98,4.67,CN,1680425189
168,lavrentiya,65.5833,-171.0,-21.48,94,12,4.2,RU,1680425205
169,amapa,1.0,-52.0,20.62,100,99,3.7,BR,1680425263
170,bocana,10.0116,122.7217,28.64,71,81,9.03,PH,1680425264
171,oktyabrskiy,54.4815,53.471,10.97,47,97,5.27,RU,1680425265
172,khani,41.9563,42.9566,11.76,39,8,4.78,GE,1680425265
173,kloulklubed,7.0419,134.2556,26.28,68,81,1.78,PW,1680425266
174,warora,20.2333,79.0,37.05,13,6,4.03,IN,1680425266
175,diapaga,12.0708,1.7889,33.81,9,7,7.95,BF,1680425267
176,cururupu,-1.8283,-44.8683,22.36,98,100,0.27,BR,1680425268
177,ylojarvi,61.5563,23.5961,-0.21,60,0,7.15,FI,1680425268
178,euskirchen,50.6667,6.7833,6.43,95,100,2.68,DE,1680425269
179,chifeng,42.2683,118.9636,18.77,24,100,12.75,CN,1680425131
180,meadow lake,34.8014,-106.5436,10.63,20,0,2.42,US,1680425270
181,kaitangata,-46.2817,169.8464,11.07,70,44,3.95,NZ,1680425203
182,luderitz,-26.6481,15.1594,21.43,62,76,4.66,NA,1680425271
183,margate,51.3813,1.3862,8.28,70,76,9.39,GB,1680425273
184,erenhot,43.6475,111.9767,7.68,34,100,9.34,CN,1680425144
185,ierapetra,35.01,25.7353,19.52,61,100,4.47,GR,1680425274
186,tessalit,20.1986,1.0114,31.22,6,1,5.31,ML,1680425274
187,mengcheng,33.2579,116.5655,21.7,49,55,12.23,CN,1680425166
188,maracas,-13.4411,-40.4308,15.99,89,4,1.1,BR,1680425278
189,yinchuan,38.4681,106.2731,12.18,36,100,6.24,CN,1680425133
190,yablonovo,50.8523,37.3574,8.9,66,100,9.45,RU,1680425279
191,talaja,21.35,72.05,31.97,35,0,3.39,IN,1680425280
192,desbiens,48.4178,-71.9495,-11.64,81,95,15.62,CA,1680425281
193,mazagao,-0.115,-51.2894,24.03,99,99,6.42,BR,1680425281
194,rokytne,51.2796,27.214,12.28,69,89,0.55,UA,1680425284
195,dedza,-14.3779,34.3332,18.4,79,93,3.16,MW,1680425285
196,torata,-17.0769,-70.8433,15.81,82,99,0.84,PE,1680425286
197,lebu,-37.6167,-73.65,12.84,90,91,9.81,CL,1680425185
